speaker	speakers_job	state_info	party_affiliation	barely_true_cnt	false_cnt	half_true_cnt	mostly_true_cnt	pants_on_fire_cnt	true_cnt
heather-mcghee	President, Demos		none	1	0	1	0	0	0
ann-kirkpatrick	U.S. House of Representatives	Arizona	democrat	0	0	3	0	0	0
dana-loesch	Radio talk show host		republican	0	2	0	0	0	0
lena-taylor	State Senator, District 4	Wisconsin	democrat	1	0	0	1	1	1
john-king	An anchor for CNN		none	0	0	0	1	0	1
ohio-right-life		Ohio	none	1	0	0	1	0	0
carlos-beruff	Developer	Florida	republican	3	1	0	0	0	0
concerned-veterans-america			organization	1	0	0	1	0	0
keith-faber	State senator	Ohio	republican	0	0	1	0	0	3
johnny-isakson	U.S. Senator	Georgia	republican	1	3	4	1	0	4
steve-poizner	Insurance commissioner and gubernatorial candidate	California	republican	0	1	1	1	0	0
bill-batchelder	State representative	Ohio	republican	0	1	1	1	3	1
ed-fallone			none	0	1	1	0	0	0
afscme			none	2	1	2	2	0	0
progressohio	A liberal-oriented advocacy organization	Ohio	none	0	0	0	1	0	1
kathleen-peters	District 69 state representative	Florida	republican	1	0	0	1	0	0
ultraviolet	Liberal advocacy group	Washington, D.C.	none	2	0	1	1	0	0
jim-whelan			democrat	0	0	2	1	0	0
sam-adams	Mayor of Portland	Oregon	democrat	2	2	2	2	0	2
michael-eric-dyson			none	1	0	1	0	0	0
bill-oreilly	Fox News Channel host		none	3	5	2	4	0	2
jack-berry	Mayoral candidate	Virginia	none	1	0	0	1	0	0
new-jersey-democratic-state-committee		New Jersey	democrat	1	1	1	0	0	0
charles-rangel	U.S. Congressman	New York	democrat	0	0	1	0	1	0
chris-matthews	Host of MSNBC's Hardball		none	0	2	2	1	0	0
greg-walden	U.S. representative	Oregon	republican	3	0	0	0	0	1
allan-fung	mayor, city of Cranston, R.I.	Rhode Island	republican	2	2	0	2	1	1
maggie-hassan	Candidate for governor	New Hampshire	democrat	0	1	2	4	0	2
john-edwards	former senator	North Carolina	democrat	0	1	4	4	0	3
one-wisconsin-now		Wisconsin	organization	0	1	1	0	1	2
jerry-jones	Owner, president, general manager, Dallas Cowboys	Texas	none	0	1	0	0	1	0
harry-reid	Senate Democratic Leader	Nevada	democrat	3	7	3	6	3	1
marion-hammer	Executive director, Unified Sportsmen of Florida	Florida	none	0	1	0	2	0	0
terry-gorman	President, Rhode Islanders for Immigration Law Enforcement	Rhode Island	newsmaker	1	0	0	0	1	1
wayne-powell	lawyer	Virginia	democrat	0	1	0	0	1	0
jeff-fitzgerald	Incoming speaker of state Assembly	Wisconsin	republican	1	0	1	2	2	1
shelley-adler			democrat	0	2	0	0	0	0
stephen-colbert			none	1	0	0	2	0	2
louise-slaughter		New York	democrat	0	0	0	1	0	1
george-allen	consultant	Virginia	republican	2	5	2	3	0	7
john-mica	U.S. Representative	Florida	republican	0	1	0	1	1	0
senate-majority-pac	political action committee	Washington, D.C. 	democrat	3	2	4	1	0	0
laura-ingraham	Political commentator and radio talk show host		none	1	3	1	0	1	0
tim-ryan	U.S. representative 	Ohio	democrat	0	0	0	5	1	3
chris-murphy	U.S. House of Representatives	Connecticut	democrat	0	0	0	0	0	2
bruce-braley	U.S. House of Representatives	Iowa	democrat	0	2	0	1	0	0
chris-coons	County executive of New Castle County, Delaware	Delaware	democrat	1	0	0	0	0	1
associated-industries-florida		Florida	organization	0	0	1	0	1	0
safety-all-initiative		California 	none	0	0	0	1	0	1
gus-bilirakis	Congressman	Florida	republican	1	0	0	1	0	0
wisconsin-professional-police-association		Wisconsin	none	1	0	0	1	0	0
catherine-hanaway	Candidate for governor of Missouri	Missouri	republican	0	1	0	0	0	2
elizabeth-warren	U.S. senator	Massachusetts 	democrat	0	0	3	3	0	0
charlie-justice			democrat	0	0	1	0	1	2
jim-moran	U. S. Congressman	Virginia	democrat	2	1	1	5	1	2
peter-defazio	U.S. representative	Oregon	democrat	1	1	1	2	0	1
kurt-schrader	U.S. representative	Oregon	democrat	0	0	3	0	0	1
bill-lynch	Lawyer	Rhode Island	democrat	1	0	0	0	1	0
tom-marino	U.S. representative	Pennsylvania	republican	1	1	1	0	0	0
america			none	1	1	0	0	0	0
peter-barca	State Representative	Wisconsin	democrat	0	2	2	3	1	0
reid-ribble	Candidate for 8th District U.S. House seat	Wisconsin	republican	0	1	0	0	1	0
carol-shea-porter	Retired social worker	New Hampshire	democrat	1	0	0	1	0	1
mark-udall	U.S. Senator	Colorado	democrat	0	0	1	0	0	1
se-cupp	Co-host of CNN's Crossfire		republican	0	0	1	0	0	1
daily-caller	Online publication	Washington, D.C.	none	0	2	0	0	0	0
saxby-chambliss	U.S. Senator	Georgia	republican	1	1	2	4	1	2
doug-whitsett	state senator	Oregon	republican	0	1	0	1	0	1
lawrence-odonnell			none	1	2	0	2	0	1
gilberto-hinojosa	Chairman, Texas Democratic Party	Texas	democrat	0	4	1	2	1	0
dennis-kucinich	U.S. representative	Ohio	democrat	1	1	4	4	0	9
stephanie-cutter	Co-host on CNN's "Crossfire"	Massachusetts	democrat	1	1	0	1	0	1
mike-fasano	state Senator 	Florida 	republican	0	0	0	2	0	0
andy-brown	Attorney	Texas	democrat	0	1	0	1	0	0
al-hunt	Executive editor for Washington for Bloomberg News		none	0	1	0	0	0	1
david-brooks			none	0	0	1	0	0	3
steve-stockman	U.S. representative	Texas	republican	1	3	0	0	1	0
nan-rich	candidate for governor	Florida	democrat	1	0	1	2	0	0
william-perry	Common Cause Georgia Executive Director	Georgia	none	0	0	1	1	0	0
donna-campbell	Physician	Texas	republican	0	0	0	1	0	1
tennessee-democratic-party		Tennessee	democrat	1	0	0	2	0	2
tom-cole		Oklahoma	republican	0	0	0	1	0	2
christopher-blazejewski	Rhode Island State Representative	Rhode Island	democrat	0	1	0	0	0	2
brit-hume	Fox News political analyst		none	1	2	0	0	0	0
tammy-baldwin	U.S. Representative	Wisconsin	democrat	4	5	7	4	0	2
boyd-richie	Texas Democratic Party chair	Texas	democrat	1	1	0	0	1	1
nowthis			journalist	0	1	0	0	1	0
ed-garvey	Attorney, blogger	Wisconsin	democrat	0	2	0	0	0	0
mike-martinez	Member, Austin City Council	Texas	democrat	1	0	1	1	1	2
bill-haslam	Governor	Tennessee	republican	0	2	1	0	0	1
trimet			organization	1	0	1	0	0	1
building-better-ohio		Ohio	none	1	0	0	1	0	1
bill-mccollum		Florida	republican	2	3	1	0	1	3
alexi-giannoulias		Illinois	democrat	1	0	0	0	0	1
alcee-hastings	U.S. Representative	Florida	democrat	1	0	1	0	2	0
robert-hagan	State representative	Ohio	democrat	0	0	1	1	0	0
alfonso-lopez	State delegate	Virginia	democrat	0	0	1	0	1	0
republican-party-wisconsin		Wisconsin	republican	3	3	1	3	0	0
loranne-ausley		Florida	democrat	0	1	1	0	0	0
john-barge		Georgia	republican	0	0	2	1	0	0
pat-roberts	U.S. Senator	Kansas	republican	1	1	0	0	0	1
cathy-mcmorris-rodgers	U.S. House of Representatives	Washington state	republican	0	0	2	0	0	0
robert-healey	lawyer	Rhode Island	independent	1	0	0	0	0	1
vote-no-2		Florida	none	1	0	2	0	0	0
ed-schultz	MSNBC television host		none	2	1	4	1	2	0
american-commitment			none	1	0	0	0	1	0
vern-buchanan	U.S. Representative	Florida	republican	1	1	1	0	0	1
amy-klobuchar	U.S. senator	Minnesota	democrat	0	0	0	2	0	1
george-barker	State senator	Virginia	democrat	1	0	0	0	0	1
jason-carter	State Senator	Georgia	democrat	1	0	1	0	0	1
judson-hill			republican	1	0	1	0	0	0
jay-carney	White House press secretary	District of Columbia	none	2	1	1	2	0	0
gretchen-carlson	co-anchor on "Fox & Friends"	Minnesota	none	1	0	0	0	1	0
actionaid-k			none	0	0	1	1	0	0
steny-hoyer	House Majority Leader	Maryland	democrat	0	1	3	4	0	0
elliott-naishtat	Attorney	Texas	democrat	0	0	1	0	0	1
kris-jordan	State senator	Ohio	republican	0	0	0	1	0	1
michael-thurmond	Labor Commissioner	Georgia	democrat	1	0	0	0	0	1
michael-sullivan	president and ceo, Empower Texans	Texas	republican	1	0	2	1	0	1
dan-sullivan	Alaska Department of Public Resources commissioner	Alaska	republican	2	2	1	0	0	0
robert-brown	state senator	Georgia	democrat	1	1	0	0	0	1
georgia-lottery			none	0	0	0	1	0	1
greta-van-susteren	Fox News host		none	0	1	0	1	0	0
mike-collier		Texas	democrat	0	1	0	0	0	1
jim-sullivan	Former State Senator, 5th District	Wisconsin	democrat	1	2	1	0	0	0
elijah-cummings	U.S. Representativej	Maryland	democrat	0	0	0	0	0	2
casey-cagle			republican	1	0	0	2	0	2
bob-donovan	Member of Milwaukee Common Council	Wisconsin	none	0	0	0	0	1	1
frederica-wilson	U.S. Representative, Florida District 17	Florida	democrat	1	0	1	1	0	1
occupy-democrats			organization	0	1	3	1	3	0
mike-villarreal	Small business owner	Texas	democrat	1	0	1	2	0	2
lois-kolkhorst	Businesswoman	Texas	republican	1	0	1	0	0	0
libraries-yes-committee		Oregon	none	0	0	0	0	0	3
kim-simac	Leader of recall effort against Wisconsin state Senator Jim Holperin	Wisconsin	republican	1	0	0	0	0	1
ken-plum	State delegate	Virginia	democrat	0	1	0	1	0	0
clay-aiken		North Carolina	democrat	0	0	1	1	0	0
house-republicans			republican	0	2	4	0	1	0
travis-rowley		Rhode Island	republican	1	1	1	0	0	0
tom-harkin	U.S. Senator	Iowa	democrat	0	1	1	1	0	0
thomas-perez	Secretary of Labor	Maryland	democrat	1	0	1	0	0	0
robert-hurt	U.S. Congressman	Virginia	republican	2	2	1	0	0	0
don-beyer	8th District congressional candidate	Virginia	democrat	1	0	1	3	0	0
jan-brewer		Arizona	republican	2	1	1	0	1	0
ron-ramsey	Speaker of the Tennessee Senate	Tennessee	republican	0	2	0	0	1	0
robert-reich	Economics professor at the University of California (Berkeley)	California	democrat	0	0	0	1	0	1
bob-gibbs	Representative from Ohio's 18th Congressional District	Ohio	republican	0	1	0	1	1	2
jim-huffman	Lewis & Clark Law School professor	Oregon	republican	0	1	0	1	0	0
steve-crisafulli			republican	0	0	1	1	0	0
jim-hightower	Commentator	Texas	democrat	1	1	0	0	0	0
gavin-newsom	California Lt. Governor	California	democrat	1	0	1	1	0	0
brendan-doherty		Rhode Island	republican	0	2	1	1	0	2
dale-peterson		Alabama	republican	1	0	1	0	0	0
jeff-stone	Member of State Assembly, 82nd District	Wisconsin	republican	1	0	0	1	0	2
charlie-gonzalez	U.S. House member	Texas	democrat	0	1	1	0	0	0
brad-schimel			republican	0	2	1	0	0	0
chris-dodd	U.S. senator	Connecticut	democrat	0	1	2	1	0	2
kelli-stargel	Senator from 15th District	Florida	republican	2	0	0	0	0	0
john-duncan	U.S. Congressman	Tennessee	republican	1	1	0	0	0	0
secure-america-now			none	1	0	0	1	0	0
catherine-taylor	business owner	Rhode Island	republican	0	1	0	0	0	1
new-jersey-education-association			none	0	0	1	0	0	2
kevin-brady	U.S. House member	Texas	republican	1	0	0	1	0	0
crossroads-gps	Conservative advocacy group		republican	7	1	3	1	1	2
scott-rigell	U.S. Congressman	Virginia	republican	2	2	0	1	0	0
jose-diaz-balart			none	0	0	1	0	0	1
let-freedom-ring			none	0	1	1	0	0	1
zell-miller		Georgia	none	0	1	0	2	0	0
rodney-frelinghuysen			republican	1	0	0	1	0	1
donald-trump-jr			republican	0	1	0	0	1	0
americannewscom			none	0	0	0	0	2	0
committee-protect-florida		Florida	none	0	1	0	2	0	0
mark-pryor	U.S. Senator	Arkansas	democrat	1	0	0	1	0	0
arizona-grassroots-action-pac			none	1	0	0	1	0	0
kathy-castor	Member, U.S. House of Representatives	Florida	democrat	0	0	1	0	0	1
chris-larson	Wisconsin Senate Minority Leader	Wisconsin	democrat	4	4	0	1	1	0
paul-sadler	Lawyer	Texas	democrat	1	0	1	2	0	1
stephen-hayes	Senior writer for the Weekly Standard		none	1	0	1	1	0	1
jim-kenney	Philadelphia Mayor	Pennsylvania	democrat	1	1	1	0	0	2
pete-gallego	Former legislator and U.S. House member	Texas	democrat	1	0	2	2	0	1
sarah-silverman	Comedian		democrat	0	0	1	0	0	1
chelsea-clinton			democrat	1	0	1	0	0	0
don't-let-florida-go-pot			organization	0	0	2	1	0	0
steve-king		Iowa	republican	1	1	1	0	1	0
john-wisniewski	State Assemblyman	New Jersey	democrat	2	2	0	1	0	3
jeff-kottkamp		Florida	republican	0	1	1	0	0	2
richard-saslaw	State Senate Minority Leader	Virginia	democrat	2	3	0	0	1	0
orrin-hatch	U.S. Senator	Utah	republican	1	0	0	0	0	1
lee-fisher	Former Lieutenant governor	Ohio	democrat	2	1	1	2	0	0
sacramento-bee-editorial-board			none	1	0	1	1	0	3
phil-gingrey	U.S. Congressman	Georgia	republican	2	3	1	1	1	1
daniel-mckee	Mayor	Rhode Island	democrat	0	0	0	2	0	0
energycitizensorg			none	2	0	0	0	0	0
mary-burke	Madison school board member	Wisconsin	democrat	3	5	9	7	3	2
wes-riddle	Theater owner, activist	Texas	republican	0	2	0	0	0	0
suzanne-bonamici	State Senator	Oregon	democrat	0	1	0	0	1	3
tom-tancredo	U.S. representative	Colorado	republican	2	4	1	0	0	0
haley-barbour	Governor	Mississippi	republican	1	1	0	0	0	0
joe-straus	Texas House speaker	Texas	republican	0	0	2	1	0	1
meria-carstarphen	Superintendent, Austin Independent School District	Texas	none	0	1	0	0	0	1
valerie-jarrett	senior adviser to President Barack Obama	Illinois	democrat	1	1	0	0	0	0
new-approach-oregon	Activist group	Oregon	organization	1	1	0	0	0	0
jeff-atwater	State Senator	Florida	republican	0	1	1	1	0	0
michael-morell			none	0	0	0	1	0	1
rob-teilhet	attorney	Georgia	democrat	1	1	0	0	0	0
eddie-bernice-johnson	U.S. Representative 	Texas	democrat	0	1	0	0	0	1
austan-goolsbee	chair of the Council of Economic Advisers	Illinois	democrat	0	1	0	3	0	0
maryellen-oshaughnessy	Franklin County clerk of courts	Ohio	democrat	0	1	0	0	0	1
our-oregon	political group	Oregon	democrat	0	0	0	2	0	0
sheila-jackson-lee	congresswoman	Texas	democrat	2	1	0	0	0	0
sheri-gallo	Owner, Private Properties, Inc.	Texas	none	1	0	1	0	1	0
nan-orrock		Georgia	democrat	1	0	0	0	0	2
jay-nixon	Governor	Missouri	democrat	1	0	0	0	0	1
michael-j-gardiner	Lawyer	Rhode Island	republican	1	1	0	0	0	0
van-wanggaard			republican	0	0	1	1	0	0
nikki-haley	Governor	South Carolina	republican	0	0	0	3	0	0
michael-mccaul	congressman	Texas	republican	1	0	0	4	0	2
aclu-florida		Florida	none	0	1	1	1	0	0
cliff-stearns	U.S. representative	Florida	republican	0	0	2	0	0	0
michelle-malkin	Blogger and commentator	Colorado	none	0	1	1	0	0	1
rebecca-bradley			none	0	1	0	1	0	0
david-gregory	Host of NBC's Meet the Press	Washington, D.C.	none	1	0	0	1	0	0
debbie-dooley		Georgia	tea-party-member	0	1	1	1	0	0
paula-dockery	State senator	Florida	republican	1	1	0	0	0	0
ami-bera	U.S. House of Representatives	California	democrat	1	0	1	1	0	0
becky-moeller	president, Texas AFL-CIO	Texas	democrat	0	0	0	0	0	2
vincent-fort	State Senator	Georgia	democrat	1	0	2	1	1	0
scott-randolph	State Representative	Florida	democrat	0	1	1	0	0	0
kinky-friedman	Author	Texas	democrat	0	1	1	0	0	0
george-w-bush	President	Texas	republican	0	1	1	1	0	1
jeb-hensarling	U.S. Congressman	Texas	republican	0	1	1	0	1	1
holly-benson		Florida	republican	0	0	0	2	0	0
roger-goodell	NFL commissioner		none	0	0	0	1	0	1
dana-young	Majority Leader for the Florida House of Representatives 	Florida	republican	0	0	2	0	0	0
steve-munisteri	Attorney	Texas	republican	0	0	2	0	0	0
nina-turner	State senator	Ohio	democrat	1	0	0	0	0	2
patience-roggensack	Wisconsin Supreme Court justice	Wisconsin	none	0	0	0	1	0	2
barth-bracy	executive director, Rhode Island Right to Life	Rhode Island	activist	1	0	1	0	0	0
jeff-wentworth	State Senator	Texas	republican	0	0	1	0	1	1
tim-lee	Cobb County Commission Chairman		republican	0	0	1	1	0	0
marc-morial	President of the National Urban League	Louisiana	democrat	0	0	1	0	0	2
bruce-hanna	Co-Speaker of the Oregon House of Representatives	Oregon	republican	1	1	0	0	0	0
people-american-way			none	2	0	0	0	0	0
pierre-thomas	Senior justice correspondent for ABC News		none	1	0	1	0	0	0
don-gaetz	State Senator	Florida	republican	1	0	3	1	0	1
american-future-fund			organization	2	2	0	0	0	0
barry-smitherman	Member, Texas Railroad Commission	Texas	republican	0	0	0	0	1	1
wayne-lapierre			none	1	1	3	0	0	0
american-energy-alliance			none	0	1	1	0	0	0
jerry-brown		California	democrat	0	0	3	2	0	2
paul-begala	Affiliated professor of public policy at Georgetown University's Public Policy Institute	Texas	democrat	1	2	0	0	0	0
raymond-lahood	Secretary, U.S. Department of Transportation	Illinois	republican	0	1	1	1	0	0
joe-heck	Congressman	Nevada	republican	0	0	2	0	0	0
ron-klein		Florida	democrat	0	2	0	1	0	0
eileen-brady			democrat	0	2	0	0	0	1
arizonans-responsible-drug-policy			none	1	0	1	0	0	0
better-austin-today-political-action-committee			none	1	1	0	0	0	0
citizens-lower-taxes-and-stronger-economy		Florida	none	1	0	2	0	1	1
pat-boone	spokesman for the 60 Plus Association		none	0	1	0	0	2	0
chris-taylor			democrat	1	0	0	0	0	2
nicholas-kristof			none	0	1	0	1	0	1
jennifer-shilling	State Assembly member, 95th District	Wisconsin	democrat	1	1	0	1	0	1
farouk-shami	Businessman	Texas	democrat	1	1	1	0	1	0
jake-tapper	Host of CNN's "The Lead"		journalist	0	0	0	1	0	1
dick-morris			none	0	2	0	0	0	0
jon-huntsman		Utah	republican	4	0	5	3	0	1
betsy-mccaughey			republican	0	0	0	0	2	0
emilys-list			organization	1	0	2	2	0	0
senate-leadership-fund			republican	0	0	1	1	0	0
jd-hayworth		Arizona	republican	0	1	1	1	2	0
don-balfour			republican	0	0	0	2	0	0
bob-beckel	Co-host on Fox News Channel's "The Five"	Washington, D.C.	democrat	0	1	1	0	0	1
people-ethical-treatment-animals			none	0	0	2	0	0	0
democratic-party-oregon	political party	Oregon	democrat	1	1	1	0	0	0
colorado-citizens-accountable-government			none	0	0	0	0	2	0
mary-landrieu	U.S. Senator	Louisiana	democrat	0	1	0	2	0	0
david-miliband			none	0	0	0	1	0	1
mike-dovilla	State representative	Ohio	republican	0	1	1	0	0	1
carlos-lopez-cantera	lieutenant governor	Florida	republican	0	0	0	2	0	0
edward-flynn			none	1	0	2	1	0	1
chris-sununu	Executive Councilor	New Hampshire	republican	0	1	1	0	1	0
pink-slip-rick		Florida	democrat	0	0	0	1	1	0
bono			none	0	0	1	1	0	0
nicholas-mattiello	Speaker of the House	Rhode Island	democrat	0	3	0	0	0	1
kirk-watson	lawyer	Texas	democrat	0	0	0	1	0	2
steve-moore			none	1	1	1	0	0	0
eric-greitens	gubernatorial candidate	Missouri	republican	0	1	2	1	0	0
al-gore	cofounder of Generation Investment Management and Current TV, visiting professor and author	Tennessee	democrat	0	0	3	0	0	1
debra-medina	Businesswoman	Texas	republican	0	1	2	0	0	0
amy-kremer	Chair, Tea Party Express	Georgia	tea-party-member	0	1	1	0	0	0
bart-stupak	member of Congress	Michigan	democrat	0	1	0	1	0	1
bernard-jackvony	attorney	Rhode Island	republican	1	1	0	0	0	0
patrick-lynch	Attorney General	Rhode Island	democrat	1	0	1	0	0	0
bill-pascrell	U.S. House of Representatives	New Jersey	democrat	0	3	3	3	0	0
ibdeditorialscom			none	0	1	0	0	1	0
texas-values			none	1	1	0	0	0	0
scott-bruun	State representative	Oregon	republican	1	2	0	0	0	0
bob-buckhorn		Florida	none	2	1	2	0	0	0
jill-stein	Presidential nominee	Massachusetts	green	0	1	0	0	1	1
jim-francesconi	Member of the State Board of Higher Education	Oregon	none	0	1	0	1	0	0
karen-harrington	restaurant owner	Florida	republican	0	1	1	0	0	0
jorge-ramos	News anchor for Univision	Florida	journalist	1	0	2	1	0	0
steve-adler	Mayor of Austin	Texas	democrat	1	1	0	1	1	1
tom-kean-jr	New Jersey Senate Minority Leader		republican	0	2	0	0	0	0
portland-association-teachers			organization	1	0	1	0	0	0
george-flinn	Radiologist and radio station owner	Tennessee	republican	0	1	0	0	1	0
eddie-rodriguez	Texas House Representative	Texas	democrat	0	1	0	1	0	1
kathie-tovo	Mother	Texas	democrat	1	0	0	2	0	0
cathie-adams	Chair, Republican Party of Texas	Texas	republican	0	1	1	0	1	0
megyn-kelly	Host of "The Kelly File"		talk-show-host	0	1	2	0	0	2
kathleen-ford	Attorney	Florida	democrat	0	1	0	1	0	0
eddie-lucio-jr	Advertising executive	Texas	democrat	0	0	1	1	0	1
lynn-westmoreland			republican	0	1	2	0	0	2
ohio-republican-party		Ohio	republican	2	1	1	1	0	1
randi-weingarten			none	1	0	1	0	0	0
majority-pac			democrat	1	0	1	0	0	0
maciver-institute	Think tank	Wisconsin	independent	0	0	0	1	1	1
service-employees-international-union-committee-po		Washington, D.C.	newsmaker	1	0	2	0	0	0
bob-stacey	Metro councilor	Oregon	democrat	0	2	0	0	0	0
mark-zaccaria		Rhode Island	republican	1	2	0	0	0	1
dan-flynn	State Representative	Texas	republican	1	0	0	0	1	0
anne-nolan	president, Crossroads Rhode Island	Rhode Island	activist	0	1	0	1	0	0
meg-whitman		California	republican	0	1	1	1	0	0
frank-lautenberg	U.S. Senator	New Jersey	democrat	2	0	2	1	0	3
mike-polensek	Cleveland city councilman	Ohio	democrat	0	0	1	0	0	1
levar-stoney	Richmond mayoral candidate	Virginia	democrat	1	1	1	0	0	0
katrina-vanden-heuvel			none	0	2	1	0	0	2
nick-fish	Portland City Commissioner	Oregon	none	0	1	0	1	0	0
dubose-porter		Georgia	democrat	0	0	0	1	0	1
dick-armey			republican	0	2	1	0	0	0
ew-jackson	Pastor	Virginia	republican	1	0	0	0	0	1
loretta-sanchez	member of Congress	California	democrat	0	1	1	0	1	1
steve-ogden	oil and gas producer	Texas	republican	0	0	1	1	0	0
cw-bill-young	U.S. Representative, Florida District 10	Florida	republican	0	0	1	0	1	1
leah-vukmir	Member of state Assembly	Wisconsin	republican	0	1	0	1	0	0
steve-southerland	U.S. Representative, Florida District 2	Florida	republican	0	1	1	1	0	1
david-alameel	Investor	Texas	democrat	0	1	1	0	0	0
emergency-committee-israel	Advocacy group for U.S. policy toward Israel	Washington, D.C.	none	2	0	0	0	0	0
bruce-rauner	Governor	Illinois	republican	0	0	1	0	0	1
john-thrasher	Republican Party of Florida Chairman	Florida	republican	2	1	0	0	1	1
lee-may		Georgia	democrat	0	0	0	2	0	1
my-city-bikes			none	0	1	0	0	1	0
dave-aronberg	state senator	Florida	democrat	1	0	1	0	0	2
tom-kean-sr		New Jersey	republican	0	0	1	0	0	1
jim-waldman	state representative	Florida	democrat	1	0	0	0	0	1
jason-conger	legislator	Oregon	republican	0	1	0	1	0	0
wisconsin-manufacturers-and-commerce		Wisconsin	organization	2	0	2	2	0	0
internet-commenters		Wisconsin	none	0	2	0	0	0	0
bill-kristol	Editor, the Weekly Standard	Washington, D.C.	none	0	1	0	3	0	0
john-loughlin	owner, Media-Rite LLC	Rhode Island	republican	1	2	0	0	1	1
susan-b-anthony-list			republican	0	1	0	0	1	0
diana-degette			democrat	0	0	1	1	0	0
rob-wittman	Congressman	Virginia	republican	0	1	1	1	0	0
jon-husted	Ohio secretary of state	Ohio	republican	0	2	1	2	1	0
rick-kriseman	State Representative	Florida	democrat	0	1	0	1	0	0
mark-kelly			newsmaker	0	0	1	0	0	2
arthenia-joyner	State senator	Florida	democrat	0	0	0	1	0	1
thom-tillis	House Speaker and U.S. Senate candidate	North Carolina	republican	2	0	1	0	0	0
david-rivera	U.S. Representative, Florida District 25	Florida	republican	0	2	0	0	0	0
new-hampshire-republican-party		New Hampshire	republican	1	0	0	2	0	0
renee-unterman	State Senator	Georgia	republican	0	0	2	0	0	0
planned-parenthood			none	1	0	1	0	1	2
stefani-carter	State representative	Texas	republican	0	0	2	0	0	0
michael-bloomberg		New York	independent	0	1	1	2	0	4
lone-star-project		Washington	democrat	0	1	2	0	0	0
jefferson-smith	state representative	Oregon	democrat	1	1	0	4	0	2
lee-holloway	Chairman, Milwaukee County Boaerd of Supervisors	Wisconsin	none	0	2	0	1	1	0
jack-reed	U.S. Senator	Rhode Island	democrat	1	0	2	1	0	3
ron-maag	State representative	Ohio	republican	1	1	0	0	0	0
julie-lassa	State Senator, 24th District	Wisconsin	democrat	0	0	2	0	0	0
sierra-club			none	1	1	0	1	0	0
kay-hagan	Former U.S. Senator	North Carolina	democrat	1	0	1	2	0	0
silvestre-reyes	U.S. House member	Texas	democrat	0	0	1	1	1	0
austin-scott		Georgia	republican	1	1	0	0	0	0
kirsten-gillibrand	U.S. Senator	New York	democrat	0	0	1	1	0	0
maria-sachs	Florida senator	Florida	democrat	1	0	0	0	0	1
mark-obenshain	State senator	Virginia	republican	0	0	1	1	0	1
vladimir-putin	President of Russia		none	0	1	1	0	0	0
taxpayer-association-oregon	political action committee	Oregon	none	0	1	2	0	0	0
john-fleming	U.S. Representative	Louisiana	republican	0	2	0	0	0	1
kevin-mccarthy	U.S. Representative and House Majority Whip	California	republican	1	1	0	0	0	0
michelle-nunn	Chief Executive Officer, Points of Light Foundation	Georgia	democrat	2	0	1	2	0	0
corrine-brown	U.S. Representative	Florida	democrat	0	1	0	0	0	1
floridians-ethics-and-truth-politics		Florida	republican	0	1	0	1	0	0
kevin-reilly	President of the University of Wisconsin System	Wisconsin	state-official	0	0	1	0	0	1
colleen-kiernan		Georgia	none	0	0	0	2	0	0
anthony-gemma	Owner Media Peel, former president and CEO of Gem Plumbing	Rhode Island	democrat	0	2	0	2	1	0
christine-odonnell	Candidate for U.S. Senate	Delaware	republican	0	0	0	1	1	0
votevetsorg			none	0	1	1	0	0	0
david-barton	President, Wallbuilders	Texas	republican	1	0	1	1	0	0
vicky-hartzler	U.S. Representative	Missouri	republican	0	0	1	0	0	1
florida-voter		Florida	none	0	1	0	1	0	0
steven-schale		Florida	democrat	1	0	0	0	0	1
league-women-voters-austin-area		Texas	organization	0	0	2	0	0	0
david-ralston		Georgia	republican	1	0	0	1	0	1
rodney-ellis	state senator	Texas	democrat	0	0	0	2	0	1
marina-dimitrijevic			none	1	1	1	0	0	0
scott-keyes			none	1	0	0	0	1	0
susan-combs	State comptroller	Texas	republican	0	3	0	0	1	0
herb-kohl	U.S. Senator	Wisconsin	democrat	1	0	0	1	0	0
senate-republican-conference	Group representing Senate Republicans	Washington, D.C.	republican	1	0	1	0	0	0
james-woods	Actor		none	0	1	0	0	1	1
jim-mcdermott	U.S. Representative	Washington state	democrat	1	1	1	0	0	0
janice-hahn		California	democrat	0	0	1	0	0	1
ralph-reed			republican	0	2	1	0	0	0
campaign-defend-america		Washington, D.C.	none	0	1	0	1	0	0
anthony-weiner		New York	democrat	1	1	1	0	0	0
focus-family-action			none	0	2	0	0	0	1
danny-tarkanian		Nevada	republican	1	0	1	0	0	0
mario-diaz-balart	U.S. Representative	Florida	republican	0	0	0	1	0	1
leonard-lance			republican	0	0	1	2	0	1
everytown-gun-safety	Advocacy group	New York	none	2	0	1	0	0	0
tucker-carlson	Editor, Daily Caller		none	0	0	1	0	1	0
city-atlanta			none	1	1	1	0	0	1
we-are-wisconsin		Wisconsin	organization	1	1	1	0	0	0
doreen-costa	State Representative	Rhode Island	republican	0	1	0	0	0	1
kimberly-guilfoyle			none	0	1	0	0	1	0
american-petroleum-institute			none	0	0	0	1	0	1
hank-gilbert	Cattle raiser	Texas	democrat	1	0	1	0	0	1
dana-milbank	Columnist for the Washington Post	Washington, D.C.	none	2	0	0	0	0	0
charlie-sykes	Talk show host for WTMJ-AM in Milwaukee	Wisconsin	talk-show-host	0	0	0	0	2	0
